Studio Name,Website,Neighborhood ,Address,Phone,General Email,Owner/ Director,Size,"Drop In Price $: <12, $$: 13-15, $$$: >16",Discount?,Child Care,Yoga Therapy,Gentle/ Relaxation/ Restorative,Intro,Strength Based,Heated,Acro,Prenatal,Youth or Family,Meditation,Notes
Be Luminous Yoga,http://www.beluminousyoga.com/,Downtown,"900 Lenora, Ste 128 Seattle, WA 98121",206.682.9642 ,info@beluminousyoga.com,not listed,large,$$$,Introductory,yes,no,no,yes,yes,no,no,yes,yes,yes,meditation series and workplace yoga offered
Salt Room Yoga,http://www.saltroomyoga.net/,Downtown,"214 1st Avenue South (Suite G-7) Seattle, Washington 98104",not listed,contact page,Rhonda,small,$$$,no,no,no,yes,no,no,no,no,no,no,no,building a salt wall in the studio
Guru Gayatri Yoga and Meditation Center,http://gurugayatri.org/,Downtown,"200 8th Ave North Seattle, WA 98109",(206) 418-9767,contact page,not listed,small,$$,intro,no,no,yes,no,no,no,no,yes,no,yes,focus on kundalini yoga
Bikram Hot Yoga ,http://www.bikramyogaseattle.com/index.php,Fremont,"1054 N 34th Street Seattle, WA 98103",206.547.0188,bikramyogaseattle@gmail.com,Kevin Cooke & Kathy Allen,medium,$$$,intro,no,no,no,no,no,yes,no,no,no,no,"bikram only studio, many class times available"
Aditi Yoga & Bodywork,http://aditistudio.com/,Fremont,"4206 Stone Way N Seattle, WA 98103",206.428.6004,info@aditiyogastudio.com,,medium,$$$,intro,no,no,yes,yes,no,no,no,yes,yes,no,
Sweat Hot Yoga,http://sweathotyoga.com/,Fremont,"3516 Fremont Pl N Seattle, WA 98103",206.659.4904,Rebekah@sweathotyoga.com,Rebekah Santiago,medium,$$$,intro and student,no,no,yes,yes,yes,yes (mild),no,no,no,no,
The Yoga Tree,http://www.yogatree.com/,Fremont,"4250 Fremont Ave N.   Seattle, WA 98103 ",206.545.0316 , info@yogatree.com,Taffy Frost,large ,$$$,intro ,no,no,yes,yes,no,no,no,no,no,no,
Core Power Yoga- Greenwood,http://www.corepoweryoga.com/yoga-studio/washington/seattle-greenwood,Greenlake/Greenwood,"10004 Aurora Avenue North, suite #6 Seattle, WA 98133",(206)397-3958,not listed,not listed,large,not listed,Introductory,no,no,no,yes,yes,yes,no,no,no,no,
Lila Yoga,http://lilayogaseattle.com/,Greenlake/Greenwood,"2812 East Madison Street, Seattle, WA",206.323.7138,info@lilayogaseattle.com,Kelly Valenzuela,medium,$$$,Introductry,no,no,yes,yes,no,no,no,yes,no,yes,"lots of focus on stress reduction, gentle flow, offer viniyoga"
Lila Yoga,http://lilayogaseattle.com/,Madison Valley,"2812 East Madison Street, Seattle, WA",206.323.7138,info@lilayogaseattle.com,Kelly Valenzuela,medium,$$$,intro,no,no,yes,yes,no,no,no,yes,yes,yes,"gental studio, names Lila means divine play"
Sol Yoga,http://www.solyogaseattle.com/,Madison Vally,"200 Lake Washington Blvd. Suite 101, Seattle, Washington 98122",206-999-3693,info@solyogaseattle.com,Allison Barnes,medium,$$$,Introductory,no,no,yes,no,yes,no,no,no,no,no,
The Yoga Studio,http://www.theyogastudioinmagnolia.com/,Magnolia,"3150 West Government Way
Seattle, WA 98199",(206) 390-8047,info@theyogastudioinmagnolia.com,Lee Atwell,small,$$$,"yes, seniors",no,no,yes,yes,yes,no,no,no,no,no,Seniors chair class and private instruction offered
8 Limbs Yoga Center- Phinney Ridge,http://www.8limbsyoga.com/inside-studios.php?trumbaEmbed=view%3Dobject%26objectid%3D54546,Phinney Ridge,"6801 Greenwood Avenue North Seattle, WA 98103",206.432.9609,phinneyridge@8limbsyoga.com,Anne Phyfe,large,$$,Introductory,sometimes,no,yes,yes,yes,no,no,yes,yes ,yes,
Core Power Yoga,http://www.corepoweryoga.com/yoga-studio/washington/seattle-queen-anne,Queen Anne,"300 3rd Avenue West Seattle, WA 98119",(206)257-1675,not listed,not listed,large,not listed,Introductory,no,no,no,yes,yes,yes,no,no,no,no,
Fruition Yoga & Wellness,http://fruitionyoga.com/,Sandpoint/ Laurelhurst,"3513 NE 45TH STREET SUITE M, SEATTLE 98105",206-522-5080,,Danielle Zissou,medium,$$$,no,no,no,yes,yes,yes,yes,no,no,no,no,
OmTown Yoga,http://omtownyoga.com/,Sandpoint/ Laurelhurst,"5500 35th Avenue NE, Seattle, WA 98105",206.706.2656, info@omtownyoga.com,Wendy Lippmann  wendy@omtownyoga.com,medium,$$$,intro,no,no,yes,yes,no,no,no,no,no,yes,founder focuses in anusara
Eastlake Yoga,http://www.eastlakeyoga.com/,University District,"2501 Eastlake Ave E Seattle, WA 98102",206.355.4154,mailto:jlmw2412@msn.com or yoga@eastlakeyoga.com,not listed,small,$,no,no,no,yes,yes,yes,no,no,no,no,no,
Yoga to the People,http://yogatothepeople.com/seattle/,University District,"4511 Roosevelt Way NE Seattle, WA 98105",206.707.9333,seattle@yogatothepeople.com,not listed,large,$,no,no,no,no,no,yes,yes,no,no,no,no,"only offer two different classes, but many times per day"
U-Studios,http://www.seattleustudios.com/,University District,"2300 NE 117th St, Seattle, WA 98125",512.699.8982,Karen@DedicatedDance.com,Karen R. Smith,small,$,sliding scale pricing,no,no,no,no,no,no,no,no,no,no,"offer basic hatha and vinyasa, no specialtiy classes"
University Family YMCA,http://www.seattleymca.org/Locations/University/pages/Home.aspx,University District,"5003 12th Ave NE, Seattle, Washington 98105",206.524.1400,not listd,not listed,small,no drop in,no,yes,no,no,yes,no,no,no,no,no,no,"yoga I, II, III offered with membership"
Hatha Yoga Center,http://www.hathayogacenter.com/,University District,4556 University Way NE Suites 203&204, (206) 632-1443,info@hathayogacenter.com,Bob Smith and Ki McGraw,medium,$$$,student and senior ,no,no,no,yes,no,no,no,no,no,no,
Dahn Yoga Revenna Park,http://www.dahnyoga.com/RavennaPark,University District,"5101 25th Ave. NE Suite #1 Seattle, WA 98105",(206)223-9642,RavennaPark@dahnyoga.com,,medium,$$$,no,no,no,yes,yes,no,no,no,no,no,yes,zen yoga
shefayoga Roosevelt,http://www.shefayoga.com/index.php,University District,"  6521 Roosevelt Way NE       Seattle, Washington 98115 ", (206) 729–2561,info@shefayoga.com,Leah Zaccaria,medium,$$$,intro,no,no,no,no,yes,yes,no,no,no,no,
The Center For Yoga of Seattle,http://www.yogaseattle.com/,University District,"2261 NE 65th St., Seattle, WA 98115",(206) 526-9642,      info@yogaseattle.com,Richard Schachtel,medium,$$,no,no,no,no,yes,no,no,no,no,no,no, iyengar studio
OmCulture,http://www.omculture.com/,University District,"2210 N. Pacific St., Seattle, WA 98103",206 829 9969,info@omculture.com,not listed,medium,$$$,no,no,no,no,no,no,no,yes,no,yes,no,"studio that focues on community, movement and dance"
Sutra Yoga and Wellness Center,http://sutrayogaseattle.com/,Wallingford,"1605 North 45th Street, Seattle, WA‎",not listed,sutraseattle@gmail.com,Amber Tande and Colin Patterson,medium,$$$,intro,sometimes,no,yes,no,no,yes (mild),no,no,no,no,
8 Limbs Yoga Center- Wedgewood,http://www.8limbsyoga.com/inside-studios.php?trumbaEmbed=view%3Dobject%26objectid%3D34845,Wedgwood,"7345 35th Avenue NE Seattle, WA 98115",206.523.9722,wedgwood@8limbsyoga.com,Anne Phyfe,large,$$,Introductory,no,no,yes,yes,yes,no,no,yes,yes,yes,
8 Limbs Yoga Center- West Seattle,http://www.8limbsyoga.com/inside-studios.php?trumbaEmbed=view%3Dobject%26objectid%3D34850,West Seattle,"4546 1/2 California Ave SW Seattle, WA 98116",206.933.9642,westseattle@8limbsyoga.com,Anne Phyfe,large,$$,Introductory,no,no,yes,yes,yes,no,no,yes,no,yes,
Breath Hot Yoga- West Seattle,http://www.breathehotyoga.com/,West Seattle,"3750 SW Alaska St. Seattle, WA 98126",206.659.0092,amber@breathehotyoga.com,Amber,medium,$$$,Introductory,no,no,no,no,yes,yes,no,no,no,no,hot vinyasa
Medusa Body Works,http://www.medusabodyworks.com/Welcome.html,,,,,,,,,,,,,,,,,,,
W Community Yoga,http://www.nwcommyoga.com/,,,,,,,,,,,,,,,,,,,
hauteyoga Queen Anne,hauteyogaqueenanne.com,,,,,,,,,,,,,,,,,,,
Yogalife Queen Anne,yogalife.com,,,,,,,,,,,,,,,,,,,
Red Square Yoga,http://redsquareyoga.com/,,,,,,,,,,,,,,,,,,,
Whole Life Yoga,wholelifeyoga.com,,,,,,,,,,,,,,,,,,,
Phinney Ridge Yoga,phinneyridgeyoga.com,,,,,,,,,,,,,,,,,,,
InsideOut Yoga,http://www.ioystudio.com/,,,,,,,,,,,,,,,,,,,
Wahe Guru Yoga,http://www.waheguruyoga.com/,,,,,,,,,,,,,,,,,,,
LauraNidra Yoga,lauranidrayoga.com,,,,,,,,,,,,,,,,,,,
A-1 Yoga,http://www.a-1yoga.com/,,,,,,,,,,,,,,,,,,,
Seattle Holistic Center,http://www.seattleholisticcenter.com/,,,,,,,,,,,,,,,,,,,
Hot Yoga Inc,http://hotyogainc.com/,,,,,,,,,,,,,,,,,,,
Hot Yoga of Laurelhurst,,,,,,,,,,,,,,,,,,,,
Home Yoga,,,,,,,,,,,,,,,,,,,,
Balance Studio,,,,,,,,,,,,,,,,,,,,
